"number","title","pageid","namespace","length","touched"
"1","Anarchism","12","","110598","20230801050038"
"2","Abraham_Lincoln","307","","204624","20230808232322"
"3","Aristotle","308","","159635","20230807161447"
"4","Algeria","358","","182438","20230808225151"
"5","Anthropology","569","","109293","20230808163725"
"6","Animation","593","","71906","20230808233631"
"7","Amphibian","621","","157252","20230720181521"
"8","Agriculture","627","","176799","20230801012603"
"9","Algae","633","","88186","20230806095700"
"10","Alphabet","670","","65612","20230721224624"
"11","Anatomy","674","","80670","20230804042706"
"12","Asia","689","","123642","20230804135723"
"13","Atlantic_Ocean","698","","117095","20230807030805"
"14","Albert_Einstein","736","","224377","20230808161913"
"15","Art","752","","129433","20230721224459"
"16","Abortion","765","","202172","20230724080727"
"17","Algorithm","775","","116665","20230805205138"
"18","Alexander_the_Great","783","","220899","20230808213625"
"19","Asteroid","791","","162123","20230805092843"
"20","Arabic","803","","186041","20230808225957"
"21","Aircraft","849","","53966","20230808015711"
"22","Ancient_Egypt","874","","153033","20230807072956"
"23","Atom","902","","126910","20230728223718"
"24","Aluminium","904","","139745","20230630182032"
"25","Alps","981","","102095","20230727104036"
"26","Avicenna","1130","","117129","20230808233016"
"27","Artificial_intelligence","1164","","187394","20230807174919"
"28","Afterlife","1178","","126108","20230803203035"
"29","Alloy","1187","","39780","20230218065655"
"30","Angle","1196","","51965","20230806063805"
"31","Alan_Turing","1208","","143213","20230808162441"
"32","Area","1209","","42422","20230726125131"
"33","Ashoka","1239","","144215","20230807113438"
"34","Augustus","1273","","145552","20230808234028"
"35","Andes","1354","","56045","20230728183348"
"36","Abraham","1436","","74615","20230806155402"
"37","Amazon_River","1701","","107783","20230806174929"
"38","Arabic_numerals","1786","","31337","20230805234445"
"39","Antibiotic","1805","","143687","20230807061128"
"40","Adam_Smith","1814","","108221","20230807153757"
"41","Antoine_Lavoisier","1822","","77312","20230719164650"
"42","Archimedes","1844","","102274","20230805222826"
"43","American_Revolution","1973","","210776","20230808134900"
"44","Aesthetics","2130","","76158","20230808234105"
"45","Armour","2147","","31633","20230617192044"
"46","Alcoholism","2965","","143680","20230807104021"
"47","Acid–base_reaction","3038","","36042","20230619024259"
"48","Arithmetic","3118","","40154","20230731000013"
"49","Brazil","3383","","261817","20230808214931"
"50","Bible","3390","","207613","20230802022325"
"51","The_Buddha","3395","","234754","20230803161838"
"52","Bridge","3397","","72392","20230729212050"
"53","Board_game","3401","","64055","20230803150935"
"54","Bird","3410","","229749","20230728010741"
"55","Bangladesh","3454","","305456","20230808210332"
"56","Brain","3717","","121772","20230719185356"
"57","Book","3778","","75307","20230731011356"
"58","Biochemistry","3954","","56373","20230801023537"
"59","Bicycle","3973","","92063","20230807014057"
"60","Blood","3997","","64045","20230722225752"
"61","Bone","4099","","76055","20230725214558"
"62","Big_Bang","4116","","152780","20230729004429"
"63","Bronze","4169","","37315","20230803223236"
"64","Botany","4183","","141036","20230720072114"
"65","Cell_(biology)","4230","","62892","20230721143008"
"66","Black_Death","4501","","130639","20230730021401"
"67","Biotechnology","4502","","85220","20230729094756"
"68","Bronze_Age","4620","","105555","20230802104607"
"69","Black_hole","4650","","168824","20230806225921"
"70","British_Empire","4721","","153597","20230808065615"
"71","Charlie_Chaplin","5142","","170889","20230731063309"
"72","Country","5165","","36061","20230730230319"
"73","Combinatorics","5170","","32660","20230725210651"
"74","Calculus","5176","","78032","20230803211301"
"75","Communication","5177","","138764","20230808162339"
"76","Chemistry","5180","","78768","20230806232501"
"77","Christianity","5211","","297118","20230807064644"
"78","Colombia","5222","","265619","20230808224750"
"79","Carl_Linnaeus","5233","","117194","20230729170004"
"80","Constitution","5253","","99417","20230725222609"
"81","Carbon","5299","","98821","20230808233901"
"82","Charlemagne","5314","","154339","20230804172926"
"83","Computer_science","5323","","77928","20230806130223"
"84","Cooking","5355","","40407","20230801182408"
"85","Card_game","5360","","42383","20230709072830"
"86","Video_game","5363","","146057","20230806212558"
"87","Concrete","5371","","134096","20230801021514"
"88","Calendar","5377","","31781","20230730151124"
"89","Physical_cosmology","5378","","76721","20230802105600"
"90","City","5391","","196371","20230808013144"
"91","China","5405","","347600","20230808073610"
"92","Capitalism","5416","","142181","20230807185459"
"93","Canal","5623","","60986","20230731034539"
"94","Christopher_Columbus","5635","","188569","20230802004430"
"95","Cyrillic_script","5639","","87061","20230806182831"
"96","Chemical_element","5659","","69571","20230717235918"
"97","Consciousness","5664","","145415","20230802023343"
"98","Community","5695","","39099","20230602073926"
"99","Chinese_language","5751","","92416","20230804154639"
"100","Civil_engineering","5762","","38961","20230724104229"
"101","Crime","5785","","44902","20230709120219"
"102","Confucianism","5820","","129990","20230808164827"
"103","Confucius","5823","","104308","20230808024832"
"104","Complex_number","5826","","103991","20230718104321"
"105","Carbon_dioxide","5906","","109888","20230730020414"
"106","Catalysis","5914","","43988","20230729033735"
"107","Color","5921","","40486","20230803214127"
"108","Carbohydrate","5932","","57085","20230807095247"
"109","Comet","5962","","142894","20230721061755"
"110","Coal","5987","","136825","20230808100439"
"111","Chemical_bond","5993","","40031","20230806201628"
"112","Climate","5999","","38264","20230805084842"
"113","Cicero","6046","","98973","20230807181904"
"114","Carl_Friedrich_Gauss","6125","","108070","20230805215115"
"115","Circle","6220","","43372","20230801020916"
"116","Civilization","6258","","87434","20230808083034"
"117","Chemical_reaction","6271","","66201","20230725155643"
"118","Cairo","6293","","163150","20230808161559"
"119","Clock","6449","","95171","20230807170147"
"120","Yangtze","6613","","109979","20230806174751"
"121","Conservatism","6675","","167273","20230808201446"
"122","Cat","6678","","151803","20230808184350"
"123","Cereal","6700","","38990","20230803001456"
"124","Colonialism","7299","","114526","20230731044854"
"125","Corporation","7485","","49865","20230805174950"
"126","Dance","7885","","63150","20230731235818"
"127","DNA","7955","","169731","20230806083652"
"128","Democracy","7959","","202950","20230802104814"
"129","Drink","7984","","55948","20230705191833"
"130","Dentistry","8005","","51775","20230808202343"
"131","Disease","8072","","59196","20230803002428"
"132","Dante_Alighieri","8169","","67360","20230807174616"
"133","Death","8221","","112466","20230808220141"
"134","Dinosaur","8311","","286962","20230801024440"
"135","Day","8376","","33740","20230806183658"
"136","Drawing","8544","","40156","20230724132628"
"137","Design","8560","","29539","20230807080912"
"138","Discrimination","8900","","72096","20230808231509"
"139","Dictatorship","9033","","77942","20230806034015"
"140","Economics","9223","","182213","20230808140110"
"141","Earth","9228","","195485","20230806135442"
"142","Evolution","9236","","245171","20230808153634"
"143","Europe","9239","","241038","20230801174613"
"144","Epistemology","9247","","125346","20230801213357"
"145","Engineering","9251","","88700","20230804181359"
"146","Education","9252","","198688","20230714182353"
"147","Ethics","9258","","109351","20230801045129"
"148","Entertainment","9262","","140024","20230725190545"
"149","Equation","9284","","32299","20230526143115"
"150","European_Union","9317","","263163","20230807200606"
"151","Euclid","9331","","43887","20230807210509"
"152","Epic_poetry","9418","","37041","20230711062739"
"153","Electromagnetic_radiation","9426","","81919","20230703203319"
"154","Electron","9476","","155225","20230618103705"
"155","Electromagnetism","9532","","32522","20230801231437"
"156","Electricity","9550","","85787","20230807075626"
"157","Ecology","9630","","212170","20230805195837"
"158","Ecosystem","9632","","66888","20230726000235"
"159","E_(mathematical_constant)","9633","","43525","20230808173327"
"160","Engine","9640","","42599","20230730002122"
"161","Energy","9649","","59835","20230609134050"
"162","Electric_light","9656","","35427","20230803111642"
"163","Electronics","9663","","36787","20230804181925"
"164","Erosion","9696","","62577","20230726000522"
"165","Earthquake","10106","","80376","20230803160918"
"166","Elizabeth_I","10128","","117752","20230808193522"
"167","Eastern_Orthodox_Church","10186","","213860","20230806121223"
"168","Explosive","10192","","74512","20230808185639"
"169","Human_evolution","10326","","255227","20230730145723"
"170","Emotion","10406","","117808","20230731062040"
"171","Association_football","10568","","115498","20230802174239"
"172","French_language","10597","","117456","20230806212754"
"173","Folk_music","10623","","160835","20230807013601"
"174","Food","10646","","51286","20230721161141"
"175","Friedrich_Nietzsche","10671","","198833","20230807134641"
"176","History_of_film","10783","","153916","20230801203236"
"177","Fear","10828","","99605","20230731164058"
"178","Food_preservation","10834","","42058","20230521104022"
"179","Fruit","10843","","49648","20230804102616"
"180","Force","10902","","96838","20230808151415"
"181","Fascism","11054","","190447","20230807194808"
"182","Forest","11090","","76988","20230608043134"
"183","Fire","11145","","41847","20230808225937"
"184","Finance","11162","","66664","20230727001304"
"185","Feminism","11185","","198736","20230808140311"
"186","French_Revolution","11188","","164180","20230808200645"
"187","Folklore","11303","","84399","20230807040201"
"188","Fashion","11657","","86040","20230806003411"
"189","Germany","11867","","201139","20230808121246"
"190","German_language","11884","","123188","20230807113317"
"191","Greek_language","11887","","65735","20230804174254"
"192","Gambling","11921","","44452","20230727231021"
"193","Firearm","11966","","103134","20230801131601"
"194","George_Washington","11968","","235822","20230808191311"
"195","Great_Lakes","12010","","111774","20230804022921"
"196","Geology","12207","","88774","20230712122518"
"197","Great_Pyramid_of_Giza","12224","","136879","20230805161434"
"198","Government","12229","","37675","20230613150556"
"199","Gold","12240","","142808","20230720114949"
"200","Genetics","12266","","101384","20230729202624"
"201","Genetic_engineering","12383","","136622","20230628065547"
"202","Genocide","12441","","129370","20230806100418"
"203","Ganges","12448","","146339","20230808101457"
"204","Glacier","12463","","63838","20230625101752"
"205","Galaxy","12558","","145580","20230731062108"
"206","Grammar","12569","","27685","20230806084559"
"207","Glass","12581","","90832","20230724203652"
"208","Gunpowder","12737","","98404","20230730111020"
"209","History_of_Europe","13212","","223309","20230808224256"
"210","Hydrogen","13255","","121945","20230725111845"
"211","Holy_Roman_Empire","13277","","189784","20230803202118"
"212","Hormone","13311","","40000","20230724083936"
"213","Henry_Ford","13371","","106923","20230731025734"
"214","Hong_Kong","13404","","199841","20230808104054"
"215","Heredity","13457","","34806","20230615152321"
"216","Hippocrates","13486","","49939","20230726181035"
"217","Hinduism","13543","","327717","20230808222128"
"218","Herodotus","13574","","43175","20230805164612"
"219","Homer","13633","","62637","20230808045306"
"220","Horse","13645","","143270","20230731232208"
"221","Human_rights","13831","","111471","20230725055344"
"222","History_of_India","13890","","276601","20230808025334"
"223","Hydropower","14073","","56776","20230808201242"
"224","History_of_Asia","14097","","111442","20230724175033"
"225","History_of_Africa","14099","","77396","20230801202239"
"226","History_of_Oceania","14104","","97454","20230618144504"
"227","History_of_medicine","14194","","206356","20230801123037"
"228","History_of_mathematics","14220","","128448","20230725030605"
"229","Hammurabi","14358","","37824","20230730104705"
"230","History_of_science","14400","","184769","20230807212136"
"231","Italy","14532","","382456","20230808202350"
"232","India","14533","","313957","20230808200842"
"233","Internet","14539","","152197","20230807164354"
"234","Integer","14563","","35597","20230728005703"
"235","Indonesia","14579","","201526","20230807064825"
"236","Indian_Ocean","14580","","120189","20230807171307"
"237","Island","14587","","34147","20230721114434"
"238","Inorganic_chemistry","14624","","31945","20230714073232"
"239","Isaac_Newton","14627","","139169","20230808005553"
"240","Immanuel_Kant","14631","","152388","20230808171427"
"241","Iran","14653","","327375","20230807150607"
"242","Iron_Age","14711","","62818","20230805003113"
"243","Iron","14734","","150925","20230705133916"
"244","Indo-European_languages","14848","","113859","20230729164911"
"245","Industrial_Revolution","14914","","245561","20230808235218"
"246","Immune_system","14958","","119903","20230718140606"
"247","Integrated_circuit","15150","","79294","20230724020348"
"248","Insurance","15176","","119160","20230804054145"
"249","Series_(mathematics)","15287","","59701","20230618080057"
"250","Imperialism","15316","","125555","20230801011947"
"251","Inca_Empire","15319","","100206","20230808044007"
"252","Western_imperialism_in_Asia","15443","","101405","20230705210204"
"253","International_Red_Cross_and_Red_Crescent_Movement","15487","","90216","20230803185635"
"254","Japan","15573","","173593","20230807202521"
"255","Japanese_language","15606","","90656","20230807122939"
"256","Jazz","15613","","168653","20230721225355"
"257","Judaism","15624","","222793","20230807063941"
"258","James_Cook","15630","","96329","20230720205330"
"259","Joseph_Stalin","15641","","279521","20230804202411"
"260","Jewellery","15739","","96972","20230802165256"
"261","Johannes_Gutenberg","15745","","48526","20230802123852"
"262","Julius_Caesar","15924","","137403","20230808211959"
"263","Jet_engine","15944","","62208","20230807034734"
"264","Jainism","16016","","143158","20230808062215"
"265","Jerusalem","16043","","286059","20230804202940"
"266","John_Locke","16143","","80666","20230807221032"
"267","Jakarta","16275","","193407","20230729023614"
"268","Justice","16369","","51160","20230808021209"
"269","Rumi","16433","","90637","20230808040930"
"270","Joan_of_Arc","16509","","182324","20230803021052"
"271","Kurt_Gödel","16736","","46820","20230806163851"
"272","Karl_Marx","16743","","191141","20230807214337"
"273","Knife","17160","","39868","20230806091014"
"274","Language","17524","","137878","20230803215530"
"275","Love","17547","","71207","20230801200919"
"276","Laser","17556","","109012","20230805100721"
"277","Trade_union","17626","","75394","20230717003927"
"278","Library","17727","","79890","20230808165034"
"279","Latin","17730","","107729","20230808165321"
"280","Louis_Pasteur","17740","","132012","20230724232103"
"281","Logarithm","17860","","98773","20230617221944"
"282","London","17867","","257485","20230807103313"
"283","Leonhard_Euler","17902","","102889","20230730001856"
"284","Ludwig_van_Beethoven","17914","","99554","20230717191134"
"285","Light","17939","","51436","20230614051249"
"286","Lipid","17940","","71762","20230626131257"
"287","Li_Bai","18024","","57602","20230807145339"
"288","Leonardo_da_Vinci","18079","","129688","20230802025756"
"289","Louis_Armstrong","18313","","100413","20230806001528"
"290","Lens","18320","","52945","20230715174532"
"291","Life","18393","","159621","20230807214523"
"292","Linear_algebra","18422","","61701","20230630095335"
"293","Mathematics","18831","","178346","20230804182444"
"294","Middle_Ages","18836","","170188","20230808144020"
"295","Mammal","18838","","209225","20230808135655"
"296","Music","18839","","130843","20230802213754"
"297","Metaphysics","18895","","95959","20230805122437"
"298","Muhammad","18934","","189209","20230808215130"
"299","Meat","18940","","154695","20230721174400"
"300","Medicine","18957","","90202","20230726150213"
"301","Mexico_City","18987","","205412","20230808213912"
"302","Moscow","19004","","220470","20230731014104"
"303","Mediterranean_Sea","19006","","142906","20230802120032"
"304","Monarchy","19013","","59827","20230724013616"
"305","Measurement","19022","","29107","20230726043828"
"306","Metal","19042","","81584","20230714154201"
"307","Mass","19048","","76507","20230801133155"
"308","Mineral","19053","","111569","20230720201046"
"309","Mumbai","19189","","262305","20230808222549"
"310","Molecular_biology","19200","","45709","20230808212934"
"311","Middle_East","19323","","72213","20230804135131"
"312","Moon","19331","","250725","20230807184821"
"313","Marco_Polo","19334","","101449","20230723184738"
"314","Mental_disorder","19356","","186039","20230806015753"
"315","Mind","19378","","110191","20230728105710"
"316","Mahatma_Gandhi","19379","","232029","20230808184244"
"317","Miguel_de_Cervantes","19444","","51198","20230803170644"
"318","Myanmar","19457","","256545","20230806055930"
"319","Martial_arts","19501","","47796","20230804224831"
"320","Mao_Zedong","19527","","218382","20230808145458"
